YearMonth,Year,Month,Store,Sales,Customers,Sales_per_Customer
2013-01,2013,1,1,128431,15899,8.07792942952387
2013-01,2013,1,2,115171,14127,8.152544772421605
2013-01,2013,1,3,165653,18291,9.056530534142475
2013-01,2013,1,4,234713,33390,7.029439952081462
2013-01,2013,1,5,109442,13213,8.282903201392568
2013-01,2013,1,6,152265,18116,8.405001103996467
2013-01,2013,1,7,188032,20936,8.981276270538785
2013-01,2013,1,8,122293,15332,7.976324028176363
2013-01,2013,1,9,127016,11774,10.78783760828945
2013-01,2013,1,10,130042,14419,9.018794645953257
2013-01,2013,1,11,190839,28124,6.785627933437634
2013-01,2013,1,12,173463,21262,8.158357633336468
2013-01,2013,1,13,120755,9456,12.770198815566836
2013-01,2013,1,14,132544,15773,8.403220693590313
2013-01,2013,1,15,151895,15553,9.766283032212435
2013-01,2013,1,16,167566,19990,8.382491245622811
2013-01,2013,1,17,152760,19655,7.7720681760366315
2013-01,2013,1,18,141363,16692,8.468907260963336
2013-01,2013,1,19,142405,14676,9.703257018261107
2013-01,2013,1,20,177144,19903,8.900366778877556
2013-01,2013,1,21,129984,12941,10.044355150297504
2013-01,2013,1,22,106067,12168,8.716880341880342
2013-01,2013,1,23,132385,11756,11.26105818305546
2013-01,2013,1,24,211069,19742,10.691368655657987
2013-01,2013,1,25,279981,41373,6.767239504024364
2013-01,2013,1,26,151230,13020,11.61520737327189
2013-01,2013,1,27,226004,26686,8.469009967773363
2013-01,2013,1,28,135013,15343,8.799648047969757
2013-01,2013,1,29,150114,13849,10.839338580402917
2013-01,2013,1,30,153641,22770,6.747518664909969
2013-01,2013,1,31,141255,14752,9.575311822125814
2013-01,2013,1,32,99100,11955,8.289418653283144
2013-01,2013,1,33,216596,21505,10.071890258079517
2013-01,2013,1,34,195034,25110,7.767184388689765
2013-01,2013,1,35,203724,15961,12.763861913413946
2013-01,2013,1,36,220481,26987,8.169896616889613
2013-01,2013,1,37,175487,20665,8.491991289620131
2013-01,2013,1,38,137670,12604,10.922722945096794
2013-01,2013,1,39,104645,14702,7.117739083117943
2013-01,2013,1,40,119004,16350,7.278532110091743
2013-01,2013,1,41,101369,7945,12.758842039018251
2013-01,2013,1,42,230326,25910,8.889463527595524
2013-01,2013,1,43,176717,15854,11.146524536394601
2013-01,2013,1,44,129405,15397,8.404559329739559
2013-01,2013,1,45,128580,10353,12.419588525065198
2013-01,2013,1,46,122148,15831,7.715747583854463
2013-01,2013,1,47,171937,23354,7.362207758842168
2013-01,2013,1,48,107334,12150,8.834074074074074
2013-01,2013,1,49,153195,11681,13.114887424021916
2013-01,2013,1,50,99133,8358,11.860851878439819
2013-01,2013,1,51,147315,11520,12.787760416666666
2013-01,2013,1,52,181847,12706,14.311899889815836
2013-01,2013,1,53,121781,13697,8.891071037453457
2013-01,2013,1,54,180191,18488,9.746376027693639
2013-01,2013,1,55,122681,15710,7.809102482495226
2013-01,2013,1,56,169208,11880,14.243097643097643
2013-01,2013,1,57,275762,26352,10.46455676988464
2013-01,2013,1,58,130903,11544,11.339483714483714
2013-01,2013,1,59,131295,14412,9.110116569525395
2013-01,2013,1,60,167099,15837,10.551177622024372
2013-01,2013,1,61,95206,12593,7.560231874851108
2013-01,2013,1,62,155861,18034,8.6426194965066
2013-01,2013,1,63,150915,14782,10.209376268434582
2013-01,2013,1,64,201019,17026,11.80658992129684
2013-01,2013,1,65,113770,11005,10.338028169014084
2013-01,2013,1,66,146121,12878,11.346560024848579
2013-01,2013,1,67,189598,19961,9.498421922749362
2013-01,2013,1,68,150196,25874,5.804900672489758
2013-01,2013,1,69,235790,29869,7.894137734775185
2013-01,2013,1,70,155454,16707,9.304722571377267
2013-01,2013,1,71,211219,17569,12.02225510842962
2013-01,2013,1,72,101949,11367,8.968857218263395
2013-01,2013,1,73,106104,12375,8.574060606060605
2013-01,2013,1,74,151531,21013,7.211297768048351
2013-01,2013,1,75,132155,14915,8.86054307743882
2013-01,2013,1,76,203667,21637,9.41290382215649
2013-01,2013,1,77,170975,16093,10.62418442801218
2013-01,2013,1,78,85634,12687,6.749743832269252
2013-01,2013,1,79,124495,13372,9.310125635656595
2013-01,2013,1,80,172311,13021,13.233315413562707
2013-01,2013,1,81,159558,13141,12.141998325850391
2013-01,2013,1,82,221414,20640,10.727422480620156
2013-01,2013,1,83,97268,8690,11.193095512082854
2013-01,2013,1,84,304330,33822,8.997989474306664
2013-01,2013,1,85,205012,28830,7.111064862989941
2013-01,2013,1,86,102973,14399,7.151399402736301
2013-01,2013,1,87,142555,18232,7.818944712593242
2013-01,2013,1,88,144234,15324,9.41229444009397
2013-01,2013,1,89,144507,15648,9.234854294478527
2013-01,2013,1,90,187266,24598,7.613057972192861
2013-01,2013,1,91,130078,16054,8.102528964743989
2013-01,2013,1,92,134881,13139,10.265697541669837
2013-01,2013,1,93,146676,15535,9.441647891857096
2013-01,2013,1,94,163449,14822,11.027459182296585
2013-01,2013,1,95,186898,21206,8.813449023861171
2013-01,2013,1,96,120121,13335,9.007949006374202
2013-01,2013,1,97,159319,17278,9.220916772774627
2013-01,2013,1,98,101294,9368,10.812766865926559
2013-01,2013,1,99,103341,10073,10.259207783182767
2013-01,2013,1,100,183418,16265,11.276852136489394
2013-01,2013,1,101,167800,18811,8.920312583063101
2013-01,2013,1,102,183631,28401,6.465652617865568
2013-01,2013,1,104,237645,31510,7.541891463027611
2013-01,2013,1,105,51324,7909,6.489315969149071
2013-01,2013,1,106,220070,21279,10.342121340288548
2013-01,2013,1,107,171771,22649,7.5840434456267385
2013-01,2013,1,108,223768,18050,12.397119113573407
2013-01,2013,1,109,150233,17965,8.36253826885611
2013-01,2013,1,110,106586,14462,7.370073295533121
2013-01,2013,1,111,153612,13777,11.149887493648835
2013-01,2013,1,112,154096,19748,7.803119303220579
2013-01,2013,1,113,177168,17411,10.175636092125668
2013-01,2013,1,114,126115,15289,8.24874092484793
2013-01,2013,1,115,149067,11848,12.581617150573937
2013-01,2013,1,116,195201,20205,9.661024498886414
2013-01,2013,1,117,96466,12686,7.604130537600504
2013-01,2013,1,118,162416,14758,11.00528526900664
2013-01,2013,1,119,142818,16742,8.530522040377493
2013-01,2013,1,120,169670,15391,11.023975050354103
2013-01,2013,1,121,110658,13938,7.939302625914765
2013-01,2013,1,122,128812,16135,7.983390145646111
2013-01,2013,1,123,207604,24174,8.587904360056259
2013-01,2013,1,124,104533,12530,8.342617717478053
2013-01,2013,1,125,287226,38599,7.441280862198503
2013-01,2013,1,126,157903,13522,11.67748853719864
2013-01,2013,1,127,120457,15618,7.712703291074401
2013-01,2013,1,128,134229,11154,12.034158149542765
2013-01,2013,1,129,219521,28225,7.777537643932684
2013-01,2013,1,130,121680,14266,8.52937053133324
2013-01,2013,1,131,138183,15235,9.070101739415819
2013-01,2013,1,132,114865,11143,10.308265278650273
2013-01,2013,1,133,181110,21681,8.353396983533969
2013-01,2013,1,134,120080,12509,9.59948836837477
2013-01,2013,1,135,135031,12671,10.656696393339121
2013-01,2013,1,136,101430,8443,12.01350230960559
2013-01,2013,1,137,186533,22339,8.350105197188773
2013-01,2013,1,138,163291,16951,9.633118990030086
2013-01,2013,1,139,154112,12734,12.102403015548925
2013-01,2013,1,140,180490,24347,7.413233663285005
2013-01,2013,1,141,135616,15174,8.937392908923158
2013-01,2013,1,142,113139,14394,7.860150062526053
2013-01,2013,1,143,137191,13146,10.435950098889396
2013-01,2013,1,144,186459,17775,10.489957805907173
2013-01,2013,1,145,221539,34855,6.356017787978769
2013-01,2013,1,146,165850,15848,10.465042907622413
2013-01,2013,1,147,188035,21010,8.949785816277963
2013-01,2013,1,148,211185,20613,10.245233590452626
2013-01,2013,1,149,133640,11464,11.657362177250523
2013-01,2013,1,150,181987,18905,9.62639513356255
2013-01,2013,1,151,148544,14944,9.940042826552462
2013-01,2013,1,152,130859,15434,8.478618634184269
2013-01,2013,1,153,173133,15923,10.873139483765621
2013-01,2013,1,154,180574,16129,11.195610391220782
2013-01,2013,1,155,153116,14885,10.28659724554921
2013-01,2013,1,156,172217,18377,9.37133373238287
2013-01,2013,1,157,228512,23470,9.736344269279932
2013-01,2013,1,158,180804,12219,14.79695556101154
2013-01,2013,1,159,195361,17618,11.08871608582132
2013-01,2013,1,160,137518,13465,10.212996658002227
2013-01,2013,1,161,167846,19957,8.410382321992284
2013-01,2013,1,162,170893,12541,13.62674427876565
2013-01,2013,1,163,250446,29023,8.629225097336596
2013-01,2013,1,164,149670,15843,9.447074417723917
2013-01,2013,1,165,93942,10233,9.180299032541777
2013-01,2013,1,166,136570,19114,7.145024589306268
2013-01,2013,1,167,204802,24586,8.330025217603515
2013-01,2013,1,168,171074,17043,10.03778677462888
2013-01,2013,1,169,192321,18601,10.339282834256222
2013-01,2013,1,170,124505,13229,9.411520145135686
2013-01,2013,1,171,208470,21812,9.557582981844856
2013-01,2013,1,172,172246,22037,7.816218178517947
2013-01,2013,1,173,205979,26067,7.901906625234972
2013-01,2013,1,174,132366,10934,12.105908176330711
2013-01,2013,1,175,129965,16273,7.986542124992319
2013-01,2013,1,176,131540,16071,8.184929375894468
2013-01,2013,1,177,98468,12846,7.665265452280866
2013-01,2013,1,178,227963,22173,10.281107653452397
2013-01,2013,1,179,157938,21232,7.438677467972871
2013-01,2013,1,180,164982,20204,8.165808750742427
2013-01,2013,1,181,146066,16392,8.910810151293314
2013-01,2013,1,182,105030,8652,12.139389736477115
2013-01,2013,1,183,103563,13091,7.911007562447483
2013-01,2013,1,184,156673,14344,10.922546012269938
2013-01,2013,1,185,168294,13281,12.67178676304495
2013-01,2013,1,186,93012,9464,9.827979712595097
2013-01,2013,1,187,146155,18752,7.794101962457338
2013-01,2013,1,188,115025,10234,11.239495798319327
2013-01,2013,1,189,215531,20930,10.297706641184902
2013-01,2013,1,190,164112,15150,10.832475247524753
2013-01,2013,1,191,181121,18147,9.980768171047556
2013-01,2013,1,192,128744,9340,13.784154175588865
2013-01,2013,1,193,127080,19221,6.611518651474949
2013-01,2013,1,194,103091,9729,10.59625860828451
2013-01,2013,1,195,251848,31929,7.887750947414576
2013-01,2013,1,196,122952,17299,7.107462859124805
2013-01,2013,1,197,169183,21888,7.729486476608187
2013-01,2013,1,198,73411,8590,8.546100116414435
2013-01,2013,1,199,165844,13746,12.064891604830496
2013-01,2013,1,200,180952,23874,7.579458825500544
2013-01,2013,1,201,122816,10673,11.507167619226085
2013-01,2013,1,202,115952,10379,11.171789189709992
2013-01,2013,1,203,147732,19592,7.540424663127808
2013-01,2013,1,204,130738,12748,10.255569501098211
2013-01,2013,1,205,167339,23126,7.2359681743492175
2013-01,2013,1,206,120189,14014,8.576352219209362
